"FullName","Length"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\DLC\313100\Content\BmGame\CookedPCConsole\SFX\SFX_DLC_HarleyPolice.wad","258678784"
"C:\Users\joshu\Videos\Josh O's Introduction.mp4","259459486"
"C:\Users\joshu\OneDrive - University of Cincinnati\UC Class Folders\Summer 2022 Semester\IT 2021 - Human Computer Interaction\Team Project\Josh O's Introduction.mp4","259459486"
"C:\Users\joshu\OneDrive\Documents\UC Class Folders\Summer 2022 Semester\IT 2021 - Human Computer Interaction\Team Project\Josh O's Introduction.mp4","259459486"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\groundhog\maps\ca_forge_skybox03.map","259493888"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\ff91_complex.map","260653056"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\terminals\Halo_Groundhog_EP11.bk2","261079912"
"C:\Program Files (x86)\Steam\steamapps\common\BioShock Remastered\ContentBaked\pc\BinkMovies\DC_6-Slums.bik","261777540"
"C:\Users\joshu\Downloads\CinebenchR23.zip","261956799"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham Knight\DLC\313102\Content\BmGame\CookedPCConsole\SFX\SFX_DLC_Batgirl.wad","261963776"
"C:\Program Files (x86)\Steam\steamapps\common\Sega Classics\SEGAGameRoom_Data\sharedassets0.resource","262852669"
"C:\Program Files (x86)\Steam\steamapps\downloading\292030\content\content12\texture.cache","263240655"
"C:\Program Files (x86)\Steam\steamapps\common\Batman Arkham City GOTY\BmGame\MoviesStereo\4_10_Pt2.usm","263326432"
"C:\Program Files (x86)\Steam\steamapps\common\Halo Infinite\deploy\pc\levels\multi\va_behemoth\va_behemoth-rtx-new.module","263454720"
"C:\Program Files (x86)\Steam\steamapps\common\PUBG\TslGame\Content\Paks\pakchunk5300-WindowsNoEditor_assets_world.pak","264400816"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\spops_videos\H4_Ep02.bk2","264420344"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo3odst\maps\sc100.map","264474624"
"C:\Program Files (x86)\Steam\steamapps\common\Counter-Strike Global Offensive\game\csgo\maps\de_nuke.vpk","264926445"
"C:\Program Files (x86)\Steam\steamapps\common\The Witcher 3\content\content4\bundles\blob.bundle","265278656"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo2\terminals\Halo_Groundhog_EP10.bk2","266203488"
"C:\Program Files (x86)\Steam\steamapps\common\Hades\Content\Audio\FMOD\Build\Desktop\Music.bank","266552576"
"C:\Program Files (x86)\Steam\steamapps\common\Splitgate\PortalWars\Content\Paks\pakchunk62_s4-WindowsNoEditor.ucas","266836224"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\haloreach\maps\cex_headlong.map","267993088"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo4\maps\dlc_dejunkyard.map","268652544"
"C:\Program Files (x86)\Microsoft\Edge\Application\119.0.2151.72\msedge.dll","269149632"
"C:\Program Files (x86)\Microsoft\EdgeCore\119.0.2151.72\msedge.dll","269149632"
"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\119.0.2151.72\msedge.dll","269149632"
"C:\Program Files (x86)\Steam\steamapps\common\The Witcher 3\content\content2\texture.cache","269167757"
"C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\x64\audio\sfx\SS_ST.rpf","269207552"
"C:\Program Files (x86)\Steam\steamapps\common\Grand Theft Auto V\x64\audio\sfx\S_FULL_GAN.rpf","269701120"
"C:\Program Files\Epic Games\Fortnite\FortniteGame\Binaries\Win64\FortniteClient-Win64-Shipping.exe","269799816"
"C:\Program Files (x86)\Steam\steamapps\common\TheOuterWorlds\Indiana\Content\Movies\Inx02_Intro.mp4","270445563"
"C:\Program Files (x86)\Steam\steamapps\common\Halo The Master Chief Collection\halo1\terminals\halo.bk2","270614088"
